| Combos |  Beef  | Potatoes | Carrot | Onion |  Garlic  |     Flour     |   Thyme    |   Salt   |  Pepper  |      Oil      | Water  |
|   93   | 750 gm |    4     |   1    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   94   | 750 gm |    4     |   1    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   95   | 750 gm |    4     |   1    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   96   | 750 gm |    4     |   1    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   97   | 750 gm |    4     |   2    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   98   | 750 gm |    4     |   2    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|   99   | 750 gm |    4     |   2    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  100   | 750 gm |    4     |   2    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  101   | 750 gm |    4     |   2    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  102   | 750 gm |    4     |   2    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  103   | 750 gm |    4     |   3    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  104   | 750 gm |    4     |   3    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  105   | 750 gm |    4     |   3    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  106   | 750 gm |    4     |   3    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  107   | 750 gm |    4     |   3    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  108   | 750 gm |    4     |   3    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  109   |  1 kg  |    2     |   1    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  110   |  1 kg  |    2     |   1    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  111   |  1 kg  |    2     |   1    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  112   |  1 kg  |    2     |   1    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  113   |  1 kg  |    2     |   1    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  114   |  1 kg  |    2     |   1    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  115   |  1 kg  |    2     |   2    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  116   |  1 kg  |    2     |   2    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  117   |  1 kg  |    2     |   2    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  118   |  1 kg  |    2     |   2    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  119   |  1 kg  |    2     |   2    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  120   |  1 kg  |    2     |   2    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  121   |  1 kg  |    2     |   3    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  122   |  1 kg  |    2     |   3    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  123   |  1 kg  |    2     |   3    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  124   |  1 kg  |    2     |   3    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  125   |  1 kg  |    2     |   3    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  126   |  1 kg  |    2     |   3    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  127   |  1 kg  |    3     |   1    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  128   |  1 kg  |    3     |   1    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  129   |  1 kg  |    3     |   1    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  130   |  1 kg  |    3     |   1    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  131   |  1 kg  |    3     |   1    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  132   |  1 kg  |    3     |   1    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  133   |  1 kg  |    3     |   2    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  134   |  1 kg  |    3     |   2    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  135   |  1 kg  |    3     |   2    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  136   |  1 kg  |    3     |   2    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  137   |  1 kg  |    3     |   2    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  138   |  1 kg  |    3     |   2    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  139   |  1 kg  |    3     |   3    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  140   |  1 kg  |    3     |   3    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  141   |  1 kg  |    3     |   3    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  142   |  1 kg  |    3     |   3    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  143   |  1 kg  |    3     |   3    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  144   |  1 kg  |    3     |   3    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  145   |  1 kg  |    4     |   1    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  146   |  1 kg  |    4     |   1    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  147   |  1 kg  |    4     |   1    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  148   |  1 kg  |    4     |   1    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  149   |  1 kg  |    4     |   1    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  150   |  1 kg  |    4     |   1    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  151   |  1 kg  |    4     |   2    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  152   |  1 kg  |    4     |   2    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  153   |  1 kg  |    4     |   2    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  154   |  1 kg  |    4     |   2    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  155   |  1 kg  |    4     |   2    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  156   |  1 kg  |    4     |   2    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  157   |  1 kg  |    4     |   3    |   1   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  158   |  1 kg  |    4     |   3    |   1   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  159   |  1 kg  |    4     |   3    |   2   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  160   |  1 kg  |    4     |   3    |   2   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  161   |  1 kg  |    4     |   3    |   3   | 3 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
|  162   |  1 kg  |    4     |   3    |   3   | 4 cloves | 2 tablespoons | 1 teaspoon | to taste | to taste | 2 tablespoons | 2 cups |
