| Combos | Chicken | Onion | Tomato |  Ginger  |  Garlic  |   Salt   |      Oil      | Water |
|   57   |  750 gm |   3   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   58   |  750 gm |   3   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   59   |  750 gm |   3   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   60   |  750 gm |   3   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   61   |  750 gm |   4   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   62   |  750 gm |   4   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   63   |  750 gm |   4   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   64   |  750 gm |   4   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   65   |  750 gm |   4   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   66   |  750 gm |   4   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   67   |  750 gm |   4   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   68   |  750 gm |   4   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   69   |  750 gm |   4   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   70   |  750 gm |   4   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   71   |  750 gm |   4   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   72   |  750 gm |   4   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   73   |   1 kg  |   2   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   74   |   1 kg  |   2   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   75   |   1 kg  |   2   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   76   |   1 kg  |   2   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   77   |   1 kg  |   2   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   78   |   1 kg  |   2   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   79   |   1 kg  |   2   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   80   |   1 kg  |   2   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   81   |   1 kg  |   2   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   82   |   1 kg  |   2   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   83   |   1 kg  |   2   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   84   |   1 kg  |   2   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   85   |   1 kg  |   3   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   86   |   1 kg  |   3   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   87   |   1 kg  |   3   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   88   |   1 kg  |   3   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   89   |   1 kg  |   3   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   90   |   1 kg  |   3   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   91   |   1 kg  |   3   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   92   |   1 kg  |   3   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   93   |   1 kg  |   3   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   94   |   1 kg  |   3   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   95   |   1 kg  |   3   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   96   |   1 kg  |   3   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   97   |   1 kg  |   4   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   98   |   1 kg  |   4   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   99   |   1 kg  |   4   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|  100   |   1 kg  |   4   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|  101   |   1 kg  |   4   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|  102   |   1 kg  |   4   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|  103   |   1 kg  |   4   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|  104   |   1 kg  |   4   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|  105   |   1 kg  |   4   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|  106   |   1 kg  |   4   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|  107   |   1 kg  |   4   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|  108   |   1 kg  |   4   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
