| N             | Carrot        | Potatoes      | Peas          | Cauliflower    | Onion         | Tomato        | Ginger        | Garlic        | Ghee             | Salt          | Water         | 
| 46            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 47            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 48            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 49            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 50            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 51            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 52            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 53            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 54            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 55            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 56            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 57            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 58            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 59            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 60            | 1             | 1             | 1/2 cup       | 150 gm         | 2             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 61            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 62            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 63            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 64            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 65            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 66            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 67            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 68            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 69            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 70            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 71            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 72            | 1             | 1             | 1/2 cup       | 150 gm         | 3             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 73            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 74            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 75            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 76            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 77            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 78            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 79            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 80            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 81            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 82            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 83            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 84            | 1             | 1             | 1/2 cup       | 200 gm         | 1             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 85            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 86            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 87            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 88            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 89            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 90            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 91            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 92            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 93            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 94            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 95            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 96            | 1             | 1             | 1/2 cup       | 200 gm         | 2             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 97            | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 98            | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 99            | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 100           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 101           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 102           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 103           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 104           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 105           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 106           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 107           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 108           | 1             | 1             | 1/2 cup       | 200 gm         | 3             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 109           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 110           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 111           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 112           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 113           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 114           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 115           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 116           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 117           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 118           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 119           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 120           | 1             | 2             | 1/2 cup       | 100 gm         | 1             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 121           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 122           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 123           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 124           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 125           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 126           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 127           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 128           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 129           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 130           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 131           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 132           | 1             | 2             | 1/2 cup       | 100 gm         | 2             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 133           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 134           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 135           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 136           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 137           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 138           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 139           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 140           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 141           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 142           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 143           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 144           | 1             | 2             | 1/2 cup       | 100 gm         | 3             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 145           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 146           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 147           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 148           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 149           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 150           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 151           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 152           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 153           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 154           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 155           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 156           | 1             | 2             | 1/2 cup       | 150 gm         | 1             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 157           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 158           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 159           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 160           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 161           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 162           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 163           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 164           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 165           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 166           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 167           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 168           | 1             | 2             | 1/2 cup       | 150 gm         | 2             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 169           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 170           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 171           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 172           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 173           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 174           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 175           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 176           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 177           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 178           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 179           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 180           | 1             | 2             | 1/2 cup       | 150 gm         | 3             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 181           | 1             | 2             | 1/2 cup       | 200 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
